Qty,Unit,Description,Supplier,Part/Area,Need to Order,Inventory Feb5/25,Where stored?,,
2,,250hr Service Kit: Belt water Pump,Seascape Marine,Engine,,x,Strbd bath above toilet,,
2,,250hr Service Kit: Oil & Coolant,Seascape Marine,Engine,,x,Strbd bath above toilet,,
2,,Additional Spare Kit: Fuel Filter,Seascape Marine,Engine,,x,Strbd bath above toilet,,
2,,Additional Spare Kit: Filter Separator,Seascape Marine,Engine,,x,Strbd bath above toilet,,
1,,Additional Spare Kit: Belt Water Pump,Seascape Marine,Engine,,x,Strbd bath above toilet,,
1,,Additional Spare Kit: Impeller Kit,Seascape Marine,Engine,,x,Strbd bath above toilet,,
4,,Additional Spare Kit: Coolant,Seascape Marine,Engine,,x,Strbd bath above toilet,,
6,,Additional Spare Kit: Oil,Seascape Marine,Engine,,x,Strbd bath above toilet,,
4,,Fuel filter spares,Seascape Marine,Engine,,x,Strbd bath above toilet,,
2,,1/2 Moon Anodes Saildrive Props,Seascape Marine,Engine,,x,Portside watermaker cupboard,,
2,,Rose Anodes,Seascape Marine,Engine,,x,Portside watermaker cupboard,,
4,,Racor spare filters (10 microns),Racor,Engine,,x,Strbd bath above toilet,,
2,,1/2 pint funnels (sail drive and engine oil),,Engine,,x,Strbd bath above toilet,,
Sails,,,,,,,,,
1,,Sail Repair kit,Ullman Sails,Sails,,x,Strbd bathroom above black water,,
1,,Set of Splice/Fids,Ullman Sails,Sails,,x,Strbd bathroom above black water,,
Hose,,,,,,,,,
5,metre,8mm Fuel Hose,Vetus,Pipe,,x,Outdoor front locker,,
5,metre,10mm Fuel hose,Vetus,Pipe,,x,Outdoor front locker,,
5,metre,16mm DW Hose,Vetus,Pipe,,x,Portside watermaker cupboard,,
3,metre,19mm DW Hose,Vetus,Pipe,,x,,,
3,metre,25mm DW Hose,Vetus,Pipe,,x,Portside watermaker cupboard,,
Clamps,,,,,,,,,
6,,8-16mm Clamps,Wurth,Hose Clamps,,x,AquaMend box: Strbd bath above toilet,,
5,,16-27mm Clamps,Wurth,Hose Clamps,,x,AquaMend box: Strbd bath above toilet,,
6,,20-32mm Clamps,Wurth,Hose Clamps,,x,AquaMend box: Strbd bath above toilet,,
6,,32-50mm Clamps,Wurth,Hose Clamps,,x,AquaMend box: Strbd bath above toilet,,
Steering Rope,,,,,,,,,
1,,Pre-cut lengths 7.5m pre run in boat,,Spare Steering,,x,Installed,,
1,,Pre-cut lengths 6.2m pre run in boat,,Spare Steering,,x,Installed,,
1,,Pre-cut Lengths 10.5m pre run in boat,,Spare Steering,,x,Installed,,
1,,Precut Lengths 11.5m pre run in boat,,Spare Steering,,x,Installed,,
Watermaker,,,,,,,,,
3,,5 micron filters,,Watermaker,,x,Watermaker Box: Strbd bath above toilet,,
1,,10 micron carbon filters,,Watermaker,x,x,Watermaker Box: Strbd bath above toilet,,
1,,RO quick-release 1/4 water filter,,Watermaker,,"April 11, 2025",Watermaker Box: Strbd bath above toilet,,
1,,motor coupling,,Watermaker,,x,Watermaker Box: Strbd bath above toilet,,
1,,PSP 15 (coupling?),,Watermaker,,x,Watermaker Box: Strbd bath above toilet,,
1,,PSSM 152 (coupling),,Watermaker,,x,Watermaker Box: Strbd bath above toilet,,
2,,Schneker Cleaning 1,,Watermaker,,x,Watermaker Box: Strbd bath above toilet,,
1,,Schneker Cleaning 2,,Watermaker,,x,Watermaker Box: Strbd bath above toilet,,
1,,tube of silicone paste,,Watermaker,,x,Watermaker Box: Strbd bath above toilet,,
1,,Schsp 10 pump head,,Watermaker,,x,Watermaker Box: Strbd bath above toilet,,
1,,Schdpm16 (cables and sensor?),,Watermaker,,x,Watermaker Box: Strbd bath above toilet,,
1,,SchSsZ15 (assorted washers),,Watermaker,,x,Watermaker Box: Strbd bath above toilet,,
,,Schneker water maker tubing compression nut,,Watermaker,,"April 11, 2025",Nav Station Stbd Top (grey battery bag),,
FASTENER ,,,,,,,,,
1,,Grommets Punch,,,,x,Ziplock bag: Strbd bath above toilet,,
1,,Grommets 10mm 3/8 inch,,,,x,Ziplock bag: Strbd bath above toilet,,
1,,Grommets 8mm 5/16 inch,,,,x,Ziplock bag: Strbd bath above toilet,,
1,,Grommets 12mm 1/2 inch,,,,x,Ziplock bag: Strbd bath above toilet,,
4,,1 micron filters,,,,x,Strbd bath above toilet,,
1,,5 micron filter,,,,x,Strbd bath above toilet,,
20,,hinges,,,,x,Portside watermaker cupboard (astern of stairs),,
15,,Small zip-ties,,,,x,Portside watermaker cupboard (astern of stairs),,
Adhesives & Ties,,,,,,,,,
6,,Bungee Cords,,,,x,Portside watermaker cupboard (astern of stairs),,
3,,Cargo Nets,,,,x,Portside watermaker cupboard (astern of stairs),,
,,,,,,,,,
1.5,,small open tube Sike 591,,,,x,Portside watermaker cupboard (astern of stairs),,
10,,Wooden mixing sticks (small),,,,x,Portside watermaker cupboard (astern of stairs),,
100,,Gloves (thin working),,,,x,Portside watermaker cupboard (astern of stairs),,
1,,Marine Weld (25ml),,,,x,Portside watermaker cupboard (astern of stairs),,
12,,Self Adhensive Hooks,,,,x,Portside watermaker cupboard (astern of stairs),,
4,,2 m long tiedowns,,,,x,Portside watermaker cupboard (astern of stairs),,
1,,Locktight (20g),,,,x,Portside watermaker cupboard (astern of stairs),,
6,,Fasteners (or outside window covers and enclosure),,,,x,Portside watermaker cupboard (astern of stairs),,
many,,Cable ties,,,,x,Portside watermaker cupboard (astern of stairs),,
10,,Portable cord ties,,,,x,Portside watermaker cupboard (astern of stairs),,
1,,M2 3/8 Anchor strap,,,,x,Portside watermaker cupboard (astern of stairs),,
1,,M2 1/2 Anchor strap,,,,x,Portside watermaker cupboard (astern of stairs),,
1,,long bag,,,,x,Portside watermaker cupboard (astern of stairs),,
1,,Tikka Yatching Repair Kit ,,,,x,Portside watermaker cupboard (astern of stairs),,
,,,,,,,,,
Tools (not in tool drawer),,,,,,,,,
1,,Small mallet,,,,x,Gym cupboard,,
1,,Digital caliper,,,,x,Gym cupboard,,
1,,Strap wrench,,,,x,Gym cupboard,,
1,,salination tester,,,,x,Gym cupboard,,
1,,Dremel drill and parts,,,,x,Gym cupboard,,
,,,,,,,,,
Tool Kit for CNC Tool Drawer,,,,,,,,,
1,,Set of Spanners sz 6-19,,Tools,,x,tool drawer (saloon),,
1,,"Set of Allen keys sz 1,5 - 10",,Tools,,x,tool drawer (saloon),,
1,,Hacksaw,,Tools,,x,tool drawer (saloon),,
1,,Crimper,,Tools,,x,tool drawer (saloon),,
1,,Hammer,,Tools,,x,tool drawer (saloon),,
1,,3m measuring tape,,Tools,,x,tool drawer (saloon),,
1,,Stanley knife,,Tools,,x,tool drawer (saloon),,
1,,Stanley Blades,,Tools,,x,tool drawer (saloon),,
1,,Set of drill bits sz 1-10,,Tools,,x,tool drawer (saloon),,
1,,"Bosch Ratchet set sz 6, 7, 8, 10, 13",,Tools,,x,tool drawer (saloon),,
1,,Silicone gun,,Tools,,x,tool drawer (saloon),,
1,,Filter spanner key,,Tools,,x,tool drawer (saloon),,
1,,Set of screwdrivers,,Tools,,x,tool drawer (saloon),,
1,,Socket set sz 10-32,,Tools,,x,tool drawer (saloon),,
1,,Adjustable spanner 10-250mm,,Tools,,x,tool drawer (saloon),,
1,,9 pcs 2-10mm metal drill bit,,,,x,tool drawer (saloon),,
1,,random yellow case of screws and hex bolts,,,,x,tool drawer (saloon),,
Rudder,,,,,,,,,
2,,Gaitors,Jefa Rudder,Rudder Boot,,x,Portside watermaker cupboard,,
Tender/dingy,,,,,,,,,
,,Spares for Tender,,Tender,,x,,,
,,Straps to secure tender for long passages,,Tender,,x,Stern shallow cupboard - behind helm,,
,,Dingy anchor,,,,x,Stern cupboard - behind helm,,
,,Dingy swim ladder,,,,x,Stern cupboard - behind helm,,
"Outdoor cleaning, smelly spray cans, boat hooks, brushes & misc",,,,,,,,,
500 mL,ml,Ethanol (spray bottle),,,,x,Stern bench,,
1,l,"Deck master dek reiniger 
(colorless organic quickcleaner for varnished/unvarnished surfaces, a strong alkaline degreaser to clean ship decks incl painted/varnished, flexiteek.
",https://masteryachtcare.com/en/product/deckmaster/,,,x,Stern bench,,
,,"Empty bottle of deck master support mater (highly concentrated multi-cleaner for streak-free cleaning of the inside and outside of your yacht)
",https://masteryachtcare.com/en/product/supportmaster/,,,x,Stern bench,,
,,500 ml deck master bright master,,,,x,Stern bench,,
2,tubes,Star Clean stainless polish,,,,x,Stern bench,,
500,ml,Alva stainless cleaner,,,,x,Stern bench,,
1,l,Starbrite teak cleaner,,,,x,Stern bench,,
1,l,Starbrite boat wash,,,,x,Stern bench,,
1,bottle,Windex (vinegar version),,,,x,Stern bench,,
3,,Vinegar,,,,"Nov 9, 2025","2 under kitchen sink, 1 by milk cupboard",,
,,Paintbrush,,,,x,Stern bench,,
2,,Tooth brushes,,,,x,Stern bench,,
2,,Large sponges,,,,x,Stern bench,,
,,Various bungee cords,,,,x,Stern bench,,
,,Bolt cutters,,,,x,Stern bench,,
,,Boat hook #1: yellow and white brush,,,,x,Stern bench,,
,,"Boat hook #2: Stick, hook, yellow and blue brushes",,,,x,Stern bench,,
1,can,McLube,,,,x,Stern bench,,
1,can (small),WD40,,,,x,Stern bench,,
1,can,Silicone Spray,,,,x,Stern bench,,
1,can,Tectyl Spray,Commercial Marine,kit,x,,Stern bench,"<--can felt empty, leak in cabinet",
1,can,CorrosionX,,,,x,Stern bench,,
2,,Baracle buster,,,,x,Under Brad's outside seat (in front of galley window),,
1,,Bilge cleaner + 2 brushes,,,,x,Under Brad's outside seat (in front of galley window),,
Eletrical and gadgets ,,,,,,,,,
1,,6 ft NEMA cable,,,,x,Stbd top draw forward of bathroom,,
1,,NEMA splitter / 3way,,,,x,Stbd top draw forward of bathroom,,
1,,20 ft RJ45 cable,,,,x,Stbd top draw forward of bathroom,,
1,,multi meter,,,,x,,,
1,,Power adaptors,,,,x,Stbd top draw forward of bathroom,,
