doc_id,filename,asset_uid,manufacturer,model,storage_path,file_size_mb,uploaded_at,parse_status,parse_started_at,parse_completed_at,chunks_processed,vectors_upserted,chunks_in_db,chunks_in_storage,chunking_strategy,error_message,dip_status,dip_started_at,dip_completed_at,specs_count,golden_count,intent_count,procedures_count,cache_tokens_written,cache_tokens_read,total_input_tokens,total_output_tokens,estimated_cost_usd,dip_error_message
ad0c0d94bef5a38cbbfd75c85bc752f899651cfd199ca671a41b516608ecc53f,fusion_radio_stereo.pdf,cc01cf4d-5c29-efc5-3f90-099f8a8a74f0,Fusion,radio_stereo,manuals/ad0c0d94bef5a38cbbfd75c85bc752f899651cfd199ca671a41b516608ecc53f/fusion_radio_stereo.pdf,2.19,2025-10-14T23:34:25.283Z,completed,2025-10-15T15:19:44.200Z,2025-10-15T15:24:09.581Z,48,48,48,0,semantic_v2,,,,,,,,,,,,,,
b1841d816623116f5a7ca01649b222777be3ad7b2086399f2a53950f381ac6f5,harken_46_2stea.pdf,69688a2c-2660-4f9e-974a-7794bf459d4d,Harken,46_2stea,manuals/b1841d816623116f5a7ca01649b222777be3ad7b2086399f2a53950f381ac6f5/harken_46_2stea.pdf,5.29,2025-10-14T23:34:26.763Z,completed,2025-10-15T15:24:11.586Z,2025-10-15T15:25:07.442Z,30,30,30,0,semantic_v2,,,,,,,,,,,,,,
a5e1cfec705be384be99392aa4339b44e61f7a71789ff5bfd04ff6dec6d4fee5,harken_50_2stea_24v_horizontal.pdf,69055764-ebc7-d985-b1ab-72afaf3dd695,Harken,50_2stea_24v_horizontal,manuals/a5e1cfec705be384be99392aa4339b44e61f7a71789ff5bfd04ff6dec6d4fee5/harken_50_2stea_24v_horizontal.pdf,5.52,2025-10-14T23:34:28.312Z,completed,2025-10-15T15:25:09.447Z,2025-10-15T15:26:09.837Z,29,29,29,0,semantic_v2,,,,,,,,,,,,,,
0cefd57e3ed25a162eb9079f998752d32b9cf509d4cad07f6dfc788face4ffe5,harken_dual_function_control_box.pdf,f0845b51-0568-4e99-81bc-eb00fd689971,Harken,dual_function_control_box,manuals/0cefd57e3ed25a162eb9079f998752d32b9cf509d4cad07f6dfc788face4ffe5/harken_dual_function_control_box.pdf,4.05,2025-10-14T23:34:30.001Z,completed,2025-10-15T15:26:11.841Z,2025-10-15T15:26:31.734Z,6,6,6,0,semantic_v2,,,,,,,,,,,,,,
a31e07b5b5f13a3f0014394c8d6d936fe18d312eb33f7451ef148b5b943661a1,harken_high_load_snatch_block.pdf,d7958a7c-7fd5-4458-a071-95bfcc75b6d3,Harken,high_load_snatch_block,manuals/a31e07b5b5f13a3f0014394c8d6d936fe18d312eb33f7451ef148b5b943661a1/harken_high_load_snatch_block.pdf,1.48,2025-10-14T23:34:30.994Z,completed,2025-10-15T15:26:33.737Z,2025-10-15T15:26:58.157Z,4,4,4,0,semantic_v2,,,,,,,,,,,,,,
aa660cef1ef72473b7798c7d6344788089126bfb7f4e5f516649337b3bae57bb,harken_winch_60_3_stea_24v_h_motor.pdf,623391a4-cd7d-0a2e-eeef-f75cd26b55b3,Harken,winch_60_3_stea_24v_h_motor,manuals/aa660cef1ef72473b7798c7d6344788089126bfb7f4e5f516649337b3bae57bb/harken_winch_60_3_stea_24v_h_motor.pdf,5.60,2025-10-14T23:34:32.677Z,completed,2025-10-15T15:29:45.045Z,2025-10-15T15:30:53.007Z,32,32,32,0,semantic_v2,,,,,,,,,,,,,,
8547d4ce188802efcfc67b17f6f0e8615199ba6ea089eb0db8f1e75ae0a50f20,marco_control_panel.pdf,067b2c02-1d2a-4201-98e9-af2fdc611497,Marco,control_panel,manuals/8547d4ce188802efcfc67b17f6f0e8615199ba6ea089eb0db8f1e75ae0a50f20/marco_control_panel.pdf,2.49,2025-10-14T23:34:33.792Z,completed,2025-10-15T15:30:55.012Z,2025-10-15T15:31:28.868Z,11,11,11,0,semantic_v2,,,,,,,,,,,,,,
ab4f40f6c7db8160bdbbbe7bdfd123d669280b403b4718ff682639cbbca957ee,marco_self_priming_transfer_pump.pdf,ea9260bb-f8ee-f895-84e8-0e9651f0c027,Marco,self_priming_transfer_pump,manuals/ab4f40f6c7db8160bdbbbe7bdfd123d669280b403b4718ff682639cbbca957ee/marco_self_priming_transfer_pump.pdf,1.57,2025-10-14T23:34:34.831Z,completed,2025-10-15T15:31:30.874Z,2025-10-15T15:32:09.056Z,7,7,7,0,semantic_v2,,,,,,,,,,,,,,
720eb02f68a9f922cdd9e0d257f44802bed5e713716d81bc6bac622741a86d48,quick_hector_hc3_series_windlass_1500w.pdf,0c39acac-1782-59e4-f323-891c0ead61b7,Quick,hector_hc3_series_windlass_1500w,manuals/720eb02f68a9f922cdd9e0d257f44802bed5e713716d81bc6bac622741a86d48/quick_hector_hc3_series_windlass_1500w.pdf,0.68,2025-10-14T23:34:35.678Z,completed,2025-10-15T15:32:11.060Z,2025-10-15T15:32:53.955Z,8,8,8,0,semantic_v2,,,,,,,,,,,,,,
18bfe400b8573b79ee22b4f75c0241a085faa7caca7b082c5b7977f959e5dcf4,rocna_mkii_50_50kg.pdf,dac504d8-2fcd-4d9d-a5db-744fb64901e5,Rocna,mkii_50_50kg,manuals/18bfe400b8573b79ee22b4f75c0241a085faa7caca7b082c5b7977f959e5dcf4/rocna_mkii_50_50kg.pdf,0.99,2025-10-14T23:34:36.366Z,completed,2025-10-15T15:32:55.963Z,2025-10-15T15:35:22.272Z,8,8,8,0,semantic_v2,,,,,,,,,,,,,,
